iteration;mean_execution
0;-670.7036566784193
1;-725.9042010264089
2;-745.2961675511917
3;-756.0806723573929
4;-778.2023963197977
5;-797.7029221553248
6;-805.009731783528
7;-811.504701457004
8;-811.7141674417196
9;-812.2144222789104
10;-812.2363646571303
11;-812.8457600782115
12;-812.8937278233745
13;-813.811997818626
14;-815.1166942366898
15;-815.1540396510387
16;-815.2432090197233
17;-815.2730423676146
18;-815.2894028893782
19;-816.4563745752487
20;-816.4870407304406
21;-816.4893209355014
22;-816.5559140522307
23;-816.5666077802646
24;-816.6787445777155
25;-818.2822856772223
26;-818.2927489446159
27;-818.2927489446159
28;-818.6515999396834
29;-819.515198989147
30;-820.4694497518983
31;-820.4694497518983
32;-821.2691486187329
33;-821.2692005929446
34;-821.3588675401061
35;-821.3631897366633
36;-821.3635508146388
37;-821.3779861403825
38;-821.3781912699103
39;-821.3781912699103
40;-821.3782386482886
41;-821.3782386482886
42;-821.3782386482886
43;-821.5568860217406
44;-821.5889489292998
45;-821.5889489292998
46;-821.5889489292998
47;-821.588960678273
48;-821.588960678273
49;-821.8920405667614
