iteration;fitness;location_x;location_y
0;-566.8887;439.8853;180.2384
1;-632.8005;423.9121;-378.2232
2;-632.8005;423.9121;-378.2232
3;-632.8005;423.9121;-378.2232
4;-655.6166;392.4933;-354.2571
5;-667.2990;382.0027;-358.3918
6;-667.2990;382.0027;-358.3918
7;-667.2990;382.0027;-358.3918
8;-667.9050;403.7059;-357.8770
9;-690.6674;413.3785;-369.5838
10;-694.4633;386.8442;-366.6188
11;-694.4633;386.8442;-366.6188
12;-702.1120;389.2377;-366.6964
13;-713.6426;403.1963;-366.7765
14;-713.6426;403.1963;-366.7765
15;-713.6426;403.1963;-366.7765
16;-716.3490;400.9934;-368.4019
17;-716.3490;400.9934;-368.4019
18;-716.5404;399.6311;-367.1376
19;-716.5404;399.6311;-367.1376
20;-716.5473;398.9630;-367.9895
21;-716.5473;398.9630;-367.9895
22;-716.5627;399.4475;-367.1468
23;-716.5627;399.4475;-367.1468
24;-716.6630;399.3119;-367.6698
25;-716.6630;399.3119;-367.6698
26;-716.6669;399.4712;-367.5752
27;-716.6669;399.4712;-367.5752
28;-716.6669;399.4712;-367.5752
29;-716.6669;399.4712;-367.5752
30;-716.6669;399.4712;-367.5752
31;-716.6669;399.4712;-367.5752
32;-716.6677;399.4245;-367.5985
33;-716.6677;399.4245;-367.5985
34;-716.6677;399.4245;-367.5985
35;-716.6677;399.4245;-367.5985
36;-716.6698;399.4987;-367.6210
37;-716.6698;399.4987;-367.6210
38;-716.6713;399.5829;-367.6825
39;-716.6713;399.5829;-367.6825
40;-716.6713;399.5829;-367.6825
41;-716.6713;399.5829;-367.6825
42;-716.6713;399.5829;-367.6825
43;-716.6713;399.5829;-367.6825
44;-716.6713;399.5829;-367.6825
45;-716.6713;399.5829;-367.6825
46;-716.6713;399.5829;-367.6825
47;-716.6713;399.5829;-367.6825
48;-716.6713;399.5829;-367.6825
49;-716.6713;399.5829;-367.6825
