iteration;fitness;location_x;location_y
0;-660.5270;257.5519;-478.9152
1;-700.3283;-290.7247;-461.7411
2;-700.3283;-290.7247;-461.7411
3;-700.3283;-290.7247;-461.7411
4;-700.3283;-290.7247;-461.7411
5;-700.3283;-290.7247;-461.7411
6;-702.7349;-291.4737;-461.0137
7;-702.7349;-291.4737;-461.0137
8;-702.7349;-291.4737;-461.0137
9;-702.7349;-291.4737;-461.0137
10;-702.7349;-291.4737;-461.0137
11;-703.5703;-295.1607;-460.6180
12;-703.5703;-295.1607;-460.6180
13;-703.5703;-295.1607;-460.6180
14;-703.5703;-295.1607;-460.6180
15;-718.5052;-359.8781;-432.1848
16;-728.5782;-387.4157;-415.3713
17;-755.3547;-449.0157;-369.9192
18;-777.8293;-449.2411;-375.9514
19;-777.8293;-449.2411;-375.9514
