iteration;fitness;location_x;location_y
0;-791.2074;466.2671;482.1688
1;-791.2074;466.2671;482.1688
2;-811.1290;325.0693;492.9457
3;-848.1145;356.6393;495.3297
4;-867.6491;452.1215;471.3358
5;-872.8375;352.5089;508.4587
6;-872.8375;352.5089;508.4587
7;-872.8375;352.5089;508.4587
8;-872.8375;352.5089;508.4587
9;-872.8375;352.5089;508.4587
10;-872.8375;352.5089;508.4587
11;-872.8375;352.5089;508.4587
12;-887.4417;349.9464;499.6238
13;-887.4417;349.9464;499.6238
14;-887.4417;349.9464;499.6238
15;-888.3309;345.4777;499.0025
16;-888.7198;347.3048;500.2578
17;-888.7198;347.3048;500.2578
18;-888.7198;347.3048;500.2578
19;-888.7198;347.3048;500.2578
20;-888.7198;347.3048;500.2578
21;-888.7198;347.3048;500.2578
22;-888.7198;347.3048;500.2578
23;-888.7198;347.3048;500.2578
24;-888.7317;347.7536;500.4260
25;-888.9362;347.6046;499.5002
26;-888.9362;347.6046;499.5002
27;-888.9362;347.6046;499.5002
28;-888.9362;347.6046;499.5002
29;-888.9390;347.3517;499.6080
30;-888.9390;347.3517;499.6080
31;-888.9390;347.3517;499.6080
32;-888.9413;347.4802;499.3814
33;-888.9413;347.4802;499.3814
34;-888.9470;347.4436;499.4990
35;-888.9470;347.4436;499.4990
36;-888.9470;347.4436;499.4990
37;-888.9477;347.4174;499.4922
38;-888.9489;347.3457;499.4038
39;-888.9489;347.3457;499.4038
40;-888.9489;347.3457;499.4038
41;-888.9489;347.3457;499.4038
42;-888.9491;347.3304;499.4121
43;-888.9491;347.3304;499.4121
44;-888.9491;347.3216;499.4165
45;-888.9491;347.3259;499.4126
46;-888.9491;347.3259;499.4126
47;-888.9491;347.3244;499.4155
48;-888.9491;347.3244;499.4155
49;-888.9491;347.3244;499.4155
50;-888.9491;347.3244;499.4155
51;-888.9491;347.3244;499.4155
52;-888.9491;347.3244;499.4155
53;-888.9491;347.3244;499.4155
54;-888.9491;347.3244;499.4155
55;-888.9491;347.3244;499.4155
56;-888.9491;347.3244;499.4155
57;-888.9491;347.3244;499.4155
58;-888.9491;347.3244;499.4155
59;-888.9491;347.3244;499.4155
60;-888.9491;347.3244;499.4155
61;-888.9491;347.3244;499.4155
62;-888.9491;347.3244;499.4155
63;-888.9491;347.3262;499.4137
64;-888.9491;347.3262;499.4137
65;-888.9491;347.3262;499.4137
66;-888.9491;347.3262;499.4137
67;-888.9491;347.3262;499.4137
68;-888.9491;347.3262;499.4137
69;-888.9491;347.3262;499.4137
70;-888.9491;347.3262;499.4137
71;-888.9491;347.3262;499.4137
72;-888.9491;347.3262;499.4137
73;-888.9491;347.3285;499.4170
74;-888.9491;347.3285;499.4170
75;-888.9491;347.3285;499.4170
76;-888.9491;347.3285;499.4170
77;-888.9491;347.3285;499.4170
78;-888.9491;347.3285;499.4170
79;-888.9491;347.3285;499.4170
80;-888.9491;347.3285;499.4170
81;-888.9491;347.3285;499.4170
82;-888.9491;347.3285;499.4170
83;-888.9491;347.3285;499.4170
84;-888.9491;347.3285;499.4170
85;-888.9491;347.3285;499.4170
86;-888.9491;347.3283;499.4168
87;-888.9491;347.3283;499.4168
88;-888.9491;347.3268;499.4152
89;-888.9491;347.3268;499.4152
90;-888.9491;347.3268;499.4152
91;-888.9491;347.3268;499.4152
92;-888.9491;347.3268;499.4152
93;-888.9491;347.3268;499.4152
94;-888.9491;347.3268;499.4152
95;-888.9491;347.3268;499.4152
96;-888.9491;347.3268;499.4152
97;-888.9491;347.3268;499.4152
98;-888.9491;347.3268;499.4152
99;-888.9491;347.3268;499.4152
