iteration;mean_execution
0;-769.3692747682755
1;-836.7686604859376
2;-839.9969965536496
3;-855.3324360238728
4;-874.1639912806364
5;-879.3331347848076
6;-880.6794013517522
7;-881.7690004538666
8;-882.6550964218914
9;-888.7492297896772
10;-889.783183881623
11;-889.8426260334512
12;-890.6109294930504
13;-891.8282424053398
14;-891.9390117939059
15;-893.3640027239286
16;-893.636409143371
17;-893.6435046712106
18;-894.7125482393552
19;-894.717944128849
20;-894.7190107722381
21;-894.7195438561714
22;-894.7515366465174
23;-894.8490035077127
24;-895.2406889473998
25;-895.3721417486861
26;-895.3725438133431
27;-895.3775345376947
28;-895.379263325892
29;-895.3794516506289
30;-895.3799366592414
31;-895.3799637699918
32;-895.380054931586
33;-895.3800748356622
34;-895.3801277560375
35;-895.3801344802229
36;-895.414962392666
37;-895.6591317660735
38;-895.6933528186175
39;-895.6934456585866
40;-895.6940437175756
41;-895.6941009664404
42;-895.6941084005588
43;-895.6941084005588
44;-895.7001779255959
45;-895.7001779255959
46;-895.7001779255959
47;-896.1094201082781
48;-896.1094201082781
49;-896.742936350594
