iteration;fitness;location_x;location_y
0;-795.5215;413.9758;437.9217
1;-795.5215;413.9758;437.9217
2;-915.7683;429.0579;445.4735
3;-915.7683;429.0579;445.4735
4;-930.0550;434.0805;449.5809
5;-930.0550;434.0805;449.5809
6;-930.0550;434.0805;449.5809
7;-931.7311;434.9967;449.9939
8;-931.7311;434.9967;449.9939
9;-931.7311;434.9967;449.9939
10;-931.7311;434.9967;449.9939
11;-931.7311;434.9967;449.9939
12;-931.7311;434.9967;449.9939
13;-931.7311;434.9967;449.9939
14;-933.9093;436.8635;451.2560
15;-942.7018;490.4647;440.6562
16;-942.7018;490.4647;440.6562
17;-942.7018;490.4647;440.6562
18;-942.7018;490.4647;440.6562
19;-942.7018;490.4647;440.6562
