iteration;fitness;location_x;location_y
0;-715.8258;-386.7251;-415.4133
1;-715.8258;-386.7251;-415.4133
2;-717.0736;-378.9343;-401.8439
3;-725.5217;-377.9171;-403.4210
4;-741.1536;-391.8993;-414.2198
5;-741.1536;-391.8993;-414.2198
6;-741.1536;-391.8993;-414.2198
7;-741.1536;-391.8993;-414.2198
8;-741.1536;-391.8993;-414.2198
9;-749.1231;-394.8930;-419.0004
10;-749.1231;-394.8930;-419.0004
11;-752.5856;-391.7847;-416.6436
12;-769.0954;-450.3929;-382.0016
13;-773.0086;-463.9924;-384.8646
14;-777.4762;-451.0624;-380.7435
15;-777.4762;-451.0624;-380.7435
16;-777.4762;-451.0624;-380.7435
17;-777.4762;-451.0624;-380.7435
18;-786.1609;-458.1930;-383.1977
19;-786.5126;-456.6576;-382.5452
