iteration;fitness;location_x;location_y
0;-835.4499;-485.1644;396.5212
1;-835.4499;-485.1644;396.5212
2;-863.5251;-481.3819;391.3766
3;-869.4274;-479.3163;385.6728
4;-887.3197;-465.2623;380.9752
5;-892.0222;-461.4098;383.7551
6;-894.3576;-464.3510;385.2923
7;-894.3576;-464.3510;385.2923
8;-894.3576;-464.3510;385.2923
9;-894.3576;-464.3510;385.2923
10;-894.3576;-464.3510;385.2923
11;-894.4460;-465.0231;386.0631
12;-894.4460;-465.0231;386.0631
13;-894.4460;-465.0231;386.0631
14;-894.4460;-465.0231;386.0631
15;-894.4460;-465.0231;386.0631
16;-894.4625;-465.1972;386.1225
17;-894.5268;-465.9841;385.4229
18;-894.5535;-465.5181;385.9347
19;-894.5535;-465.5181;385.9347
20;-894.5535;-465.5181;385.9347
21;-894.5584;-466.0086;385.6216
22;-894.5699;-465.6161;385.8580
23;-894.5699;-465.6161;385.8580
24;-894.5759;-465.5358;385.6758
25;-894.5759;-465.5358;385.6758
26;-894.5759;-465.5358;385.6758
27;-894.5759;-465.5358;385.6758
28;-894.5786;-465.6518;385.7269
29;-894.5786;-465.6518;385.7269
30;-894.5786;-465.6518;385.7269
31;-894.5786;-465.6518;385.7269
32;-894.5786;-465.6518;385.7269
33;-894.5786;-465.6518;385.7269
34;-894.5786;-465.6518;385.7269
35;-894.5786;-465.6518;385.7269
36;-894.5786;-465.6518;385.7269
37;-894.5788;-465.7030;385.7033
38;-894.5788;-465.7030;385.7033
39;-894.5788;-465.7030;385.7033
40;-894.5788;-465.7030;385.7033
41;-894.5788;-465.7030;385.7033
42;-894.5789;-465.7035;385.7212
43;-894.5789;-465.7035;385.7212
44;-894.5789;-465.7035;385.7212
45;-894.5789;-465.7035;385.7212
46;-894.5789;-465.7035;385.7212
47;-894.5789;-465.7035;385.7212
48;-894.5789;-465.7035;385.7212
49;-894.5789;-465.7035;385.7212
