0;-716.2435;285.0977;-490.0905
1;-716.2435;285.0977;-490.0905
2;-716.2435;285.0977;-490.0905
3;-716.2435;285.0977;-490.0905
4;-716.2435;285.0977;-490.0905
5;-716.2435;285.0977;-490.0905
6;-717.8615;281.2749;-487.0619
7;-717.8954;283.8576;-486.3014
8;-717.8954;283.8576;-486.3014
9;-718.0671;284.1345;-487.3351
10;-718.1114;282.9242;-487.5801
11;-718.1148;282.3091;-487.0102
12;-718.1201;282.7233;-486.6658
13;-718.1201;282.7233;-486.6658
14;-718.1336;282.8924;-486.7273
15;-718.1520;283.0272;-486.8603
16;-718.1530;283.3104;-486.9664
17;-718.1530;283.3104;-486.9664
18;-718.1646;283.0976;-487.0189
19;-718.1646;283.0976;-487.0189
20;-718.1650;282.9958;-487.0216
21;-718.1652;283.0640;-487.0256
22;-718.1652;283.0640;-487.0256
23;-718.1655;283.1474;-487.0573
24;-718.1655;283.1474;-487.0573
25;-718.1665;283.0829;-487.1902
26;-718.1668;282.9968;-487.1319
27;-718.1668;282.9968;-487.1319
28;-718.1668;282.9968;-487.1319
29;-718.1668;282.9968;-487.1319
30;-718.1669;282.9986;-487.1126
31;-718.1669;282.9986;-487.1126
32;-718.1669;282.9986;-487.1126
33;-718.1669;282.9986;-487.1126
34;-718.1669;282.9986;-487.1126
35;-718.1669;282.9986;-487.1126
36;-718.1669;282.9986;-487.1126
37;-718.1669;282.9986;-487.1126
38;-718.1669;283.0470;-487.0761
39;-718.1669;283.0470;-487.0761
40;-718.1674;283.0527;-487.1164
41;-718.1674;283.0527;-487.1164
42;-718.1674;283.0527;-487.1164
43;-718.1674;283.0527;-487.1164
44;-718.1674;283.0527;-487.1164
45;-718.1674;283.0527;-487.1164
46;-718.1674;283.0527;-487.1164
47;-718.1675;283.0729;-487.1194
48;-718.1675;283.0729;-487.1194
49;-718.1675;283.0729;-487.1194
