iteration;fitness;location_x;location_y
0;-635.9591;-272.2617;500.2942
1;-856.7909;353.5435;512.0000
2;-856.7909;353.5435;512.0000
3;-856.7909;353.5435;512.0000
4;-856.7909;353.5435;512.0000
5;-857.9420;354.6600;512.0000
6;-858.6009;356.3802;512.0000
7;-886.9689;347.7032;502.1200
8;-887.0654;348.5986;502.3950
9;-888.8406;346.9758;498.6886
10;-888.8406;346.9758;498.6886
11;-888.8673;347.0263;498.7853
12;-888.8673;347.0263;498.7853
13;-888.8673;347.0263;498.7853
14;-888.8673;347.0263;498.7853
15;-888.8673;347.0263;498.7853
16;-888.8673;347.0263;498.7853
17;-888.8673;347.0263;498.7853
18;-888.8673;347.0263;498.7853
19;-888.8673;347.0263;498.7853
