iteration;fitness;location_x;location_y
0;-856.9197;-464.8691;374.9162
1;-856.9197;-464.8691;374.9162
2;-856.9197;-464.8691;374.9162
3;-856.9197;-464.8691;374.9162
4;-893.2482;-466.5323;383.9632
5;-893.2482;-466.5323;383.9632
6;-893.2482;-466.5323;383.9632
7;-893.2482;-466.5323;383.9632
8;-894.1801;-466.8085;385.0855
9;-894.1801;-466.8085;385.0855
10;-894.1801;-466.8085;385.0855
11;-894.1801;-466.8085;385.0855
12;-894.5342;-466.1282;386.0657
13;-894.5552;-465.9605;385.9860
14;-894.5552;-465.9605;385.9860
15;-894.5601;-465.4152;385.8267
16;-894.5707;-465.9439;385.7197
17;-894.5707;-465.9439;385.7197
18;-894.5776;-465.7945;385.7218
19;-894.5776;-465.7945;385.7218
20;-894.5776;-465.7945;385.7218
21;-894.5776;-465.7945;385.7218
22;-894.5776;-465.7945;385.7218
23;-894.5776;-465.7945;385.7218
24;-894.5784;-465.6449;385.6820
25;-894.5784;-465.6449;385.6820
26;-894.5784;-465.6449;385.6820
27;-894.5784;-465.6449;385.6820
28;-894.5788;-465.7190;385.7317
29;-894.5788;-465.7190;385.7317
30;-894.5789;-465.7005;385.7207
31;-894.5789;-465.7005;385.7207
32;-894.5789;-465.7005;385.7207
33;-894.5789;-465.7005;385.7207
34;-894.5789;-465.7005;385.7207
35;-894.5789;-465.7005;385.7207
36;-894.5789;-465.7005;385.7207
37;-894.5789;-465.6980;385.7142
38;-894.5789;-465.6980;385.7142
39;-894.5789;-465.6980;385.7183
40;-894.5789;-465.6980;385.7183
41;-894.5789;-465.6980;385.7183
42;-894.5789;-465.6980;385.7183
43;-894.5789;-465.6980;385.7174
44;-894.5789;-465.6966;385.7177
45;-894.5789;-465.6966;385.7177
46;-894.5789;-465.6966;385.7177
47;-894.5789;-465.6966;385.7177
48;-894.5789;-465.6966;385.7177
49;-894.5789;-465.6966;385.7177
50;-894.5789;-465.6966;385.7177
51;-894.5789;-465.6966;385.7177
52;-894.5789;-465.6966;385.7177
53;-894.5789;-465.6966;385.7177
54;-894.5789;-465.6966;385.7177
55;-894.5789;-465.6963;385.7173
56;-894.5789;-465.6960;385.7175
57;-894.5789;-465.6957;385.7177
58;-894.5789;-465.6957;385.7177
59;-894.5789;-465.6959;385.7175
60;-894.5789;-465.6953;385.7177
61;-894.5789;-465.6949;385.7177
62;-894.5789;-465.6947;385.7177
63;-894.5789;-465.6948;385.7172
64;-894.5789;-465.6944;385.7168
65;-894.5789;-465.6941;385.7165
66;-894.5789;-465.6941;385.7165
67;-894.5789;-465.6941;385.7165
68;-894.5789;-465.6941;385.7165
69;-894.5789;-465.6941;385.7165
70;-894.5789;-465.6941;385.7165
71;-894.5789;-465.6941;385.7165
72;-894.5789;-465.6941;385.7165
73;-894.5789;-465.6941;385.7165
74;-894.5789;-465.6941;385.7165
75;-894.5789;-465.6941;385.7165
76;-894.5789;-465.6941;385.7165
77;-894.5789;-465.6941;385.7165
78;-894.5789;-465.6941;385.7165
79;-894.5789;-465.6941;385.7165
80;-894.5789;-465.6941;385.7166
81;-894.5789;-465.6941;385.7166
82;-894.5789;-465.6941;385.7166
83;-894.5789;-465.6941;385.7166
84;-894.5789;-465.6941;385.7166
85;-894.5789;-465.6941;385.7166
86;-894.5789;-465.6941;385.7166
87;-894.5789;-465.6941;385.7166
88;-894.5789;-465.6941;385.7166
89;-894.5789;-465.6941;385.7166
90;-894.5789;-465.6941;385.7166
91;-894.5789;-465.6941;385.7166
92;-894.5789;-465.6941;385.7166
93;-894.5789;-465.6941;385.7166
94;-894.5789;-465.6941;385.7166
95;-894.5789;-465.6941;385.7166
96;-894.5789;-465.6941;385.7166
97;-894.5789;-465.6941;385.7166
98;-894.5789;-465.6941;385.7166
99;-894.5789;-465.6941;385.7166
