iteration;fitness;location_x;location_y
0;-887.4717;344.1909;497.5090
1;-887.4717;344.1909;497.5090
2;-887.4717;344.1909;497.5090
3;-887.4717;344.1909;497.5090
4;-887.4717;344.1909;497.5090
5;-887.4717;344.1909;497.5090
6;-887.4717;344.1909;497.5090
7;-888.2740;349.1384;499.6447
8;-888.3776;348.3987;501.1281
9;-888.7267;347.5706;498.7251
10;-888.7267;347.5706;498.7251
11;-888.9322;347.0492;499.1331
12;-888.9322;347.0492;499.1331
13;-888.9435;347.2766;499.5167
14;-888.9435;347.2766;499.5167
15;-888.9435;347.2766;499.5167
16;-888.9435;347.2766;499.5167
17;-888.9464;347.2567;499.4567
18;-888.9467;347.2304;499.3056
19;-888.9467;347.2304;499.3056
20;-888.9490;347.3012;499.4100
21;-888.9490;347.3012;499.4100
22;-888.9490;347.3012;499.4100
23;-888.9490;347.3012;499.4100
24;-888.9490;347.3012;499.4100
25;-888.9490;347.3271;499.4333
26;-888.9491;347.3428;499.4222
27;-888.9491;347.3428;499.4222
28;-888.9491;347.3428;499.4222
29;-888.9491;347.3428;499.4222
30;-888.9491;347.3428;499.4222
31;-888.9491;347.3428;499.4222
32;-888.9491;347.3428;499.4222
33;-888.9491;347.3413;499.4202
34;-888.9491;347.3413;499.4202
35;-888.9491;347.3413;499.4202
36;-888.9491;347.3413;499.4202
37;-888.9491;347.3413;499.4202
38;-888.9491;347.3413;499.4202
39;-888.9491;347.3400;499.4231
40;-888.9491;347.3400;499.4231
41;-888.9491;347.3382;499.4210
42;-888.9491;347.3382;499.4210
43;-888.9491;347.3382;499.4210
44;-888.9491;347.3382;499.4210
45;-888.9491;347.3382;499.4210
46;-888.9491;347.3382;499.4210
47;-888.9491;347.3382;499.4210
48;-888.9491;347.3382;499.4210
49;-888.9491;347.3382;499.4210
