iteration;mean_execution
0;-729.9910430938273
1;-772.343366637959
2;-784.6943572144094
3;-803.2095819283711
4;-811.1514858528692
5;-818.8117952882357
6;-821.7864871596385
7;-822.1592404446244
8;-823.2495405084297
9;-823.7618849421721
10;-825.9114602892269
11;-825.9182550641593
12;-831.0470222837002
13;-832.7929759398088
14;-832.8287152821952
15;-836.3051964251785
16;-836.3547525692541
17;-836.3751860331688
18;-837.7094641367945
19;-838.2367367641139
20;-838.2371999986996
21;-838.3707693405253
22;-838.3847152915871
23;-838.3855795874273
24;-838.3938200568384
25;-838.4633250092753
26;-838.4641763402451
27;-839.9891615005923
28;-839.9893558328747
29;-839.9900486779912
30;-840.0033260279118
31;-841.3292220047357
32;-841.3294537863054
33;-841.3333001395897
34;-841.736407116416
35;-841.9460573959461
36;-841.946101879116
37;-841.9461716518405
38;-842.1783487855516
39;-844.3240108886464
40;-844.3335542134691
41;-844.3335566758915
42;-848.1401797377224
43;-851.0433102185794
44;-851.900619918908
45;-851.9021939498718
46;-851.9432797387135
47;-851.9432800826298
48;-852.6085156428055
49;-852.6085156428055
50;-852.6085156428055
51;-852.6085156428055
52;-852.6085689694473
53;-853.2034801816905
54;-853.2034854870632
55;-853.2034854953077
56;-853.2034855486348
57;-853.2814325398189
58;-853.3876035431449
59;-853.4920691871997
60;-853.4920692066647
61;-853.492070860394
62;-853.4961136049393
63;-853.6097741968563
64;-853.6097741968563
65;-853.6097741968563
66;-853.61179060143
67;-853.61179060143
68;-853.61179060143
69;-853.611790623337
70;-853.611790639287
71;-853.6151225572967
72;-853.61842767653
73;-853.6184276855598
74;-853.6184276855851
75;-853.6184276855851
76;-853.618511551855
77;-853.618511551855
78;-853.6185115519575
79;-853.6185115519918
80;-853.6185115519918
81;-853.618870040356
82;-853.618870040356
83;-853.618870040356
84;-853.6214697229128
85;-853.6214958686808
86;-853.6214959090257
87;-853.6214959090257
88;-853.6214959821776
89;-853.6226448161575
90;-853.6226448693485
91;-853.6226448693518
92;-853.6226448693533
93;-853.6226448693535
94;-853.6226448693535
95;-854.8628550354264
96;-856.5572798048872
97;-856.5572798454677
98;-856.5572798454696
99;-856.5572798454712
