iteration;fitness;location_x;location_y
0;-704.1667;-360.0796;-433.4277
1;-782.6463;409.6454;428.1098
2;-782.6463;409.6454;428.1098
3;-866.3685;347.2172;507.9075
4;-866.3685;347.2172;507.9075
5;-883.5677;349.6046;504.4878
6;-883.8115;346.5276;503.0063
7;-886.0451;350.6248;503.2370
8;-902.3046;443.9283;463.3845
9;-902.3046;443.9283;463.3845
10;-932.8753;435.8498;450.5087
11;-932.8753;435.8498;450.5087
12;-932.8753;435.8498;450.5087
13;-932.8753;435.8498;450.5087
14;-932.8753;435.8498;450.5087
15;-932.8753;435.8498;450.5087
16;-933.0732;436.6015;452.3878
17;-933.0732;436.6015;452.3878
18;-934.3908;438.4566;453.9746
19;-934.3908;438.4566;453.9746
20;-934.4213;440.0265;455.3895
21;-935.2787;439.8250;454.4725
22;-935.2787;439.8250;454.4725
23;-935.3312;439.5345;453.9440
24;-935.3353;439.3646;453.8904
25;-935.3353;439.3646;453.8904
26;-935.3353;439.3646;453.8904
27;-935.3353;439.3646;453.8904
28;-935.3353;439.3646;453.8904
29;-935.3353;439.3646;453.8904
30;-935.3353;439.3646;453.8904
31;-935.3363;439.5517;454.0104
32;-935.3363;439.5517;454.0104
33;-935.3363;439.5517;454.0104
34;-935.3363;439.5517;454.0104
35;-935.3363;439.5517;454.0104
36;-935.3363;439.5517;454.0104
37;-935.3363;439.5151;453.9690
38;-935.3378;439.4859;453.9716
39;-935.3378;439.4859;453.9716
40;-935.3378;439.4859;453.9716
41;-935.3378;439.4859;453.9716
42;-935.3379;439.4625;453.9584
43;-935.3379;439.4625;453.9584
44;-935.3379;439.4625;453.9584
45;-935.3379;439.4625;453.9584
46;-941.0510;470.9423;426.1713
47;-956.2353;483.7234;434.3572
48;-956.2353;483.7234;434.3572
49;-956.2353;483.7234;434.3572
50;-956.2353;483.7234;434.3572
51;-958.1788;512.0000;405.3617
52;-958.1788;512.0000;405.3617
53;-959.6056;512.0000;404.4074
54;-959.6056;512.0000;404.4074
55;-959.6056;512.0000;404.4074
56;-959.6056;512.0000;404.4074
57;-959.6056;512.0000;404.4074
58;-959.6059;512.0000;404.0569
59;-959.6059;512.0000;404.0569
60;-959.6059;512.0000;404.0569
61;-959.6059;512.0000;404.0569
62;-959.6115;512.0000;404.0716
63;-959.6392;512.0000;404.2682
64;-959.6392;512.0000;404.2682
65;-959.6392;512.0000;404.2682
66;-959.6392;512.0000;404.2682
67;-959.6397;512.0000;404.2613
68;-959.6397;512.0000;404.2613
69;-959.6397;512.0000;404.2613
70;-959.6397;512.0000;404.2613
71;-959.6406;512.0000;404.2238
72;-959.6406;512.0000;404.2238
73;-959.6406;512.0000;404.2238
74;-959.6406;512.0000;404.2238
75;-959.6407;512.0000;404.2323
76;-959.6407;512.0000;404.2323
77;-959.6407;512.0000;404.2323
78;-959.6407;512.0000;404.2323
79;-959.6407;512.0000;404.2323
80;-959.6407;512.0000;404.2323
81;-959.6407;512.0000;404.2323
82;-959.6407;512.0000;404.2323
83;-959.6407;512.0000;404.2323
84;-959.6407;512.0000;404.2323
85;-959.6407;512.0000;404.2323
86;-959.6407;512.0000;404.2323
87;-959.6407;512.0000;404.2323
88;-959.6407;512.0000;404.2323
89;-959.6407;512.0000;404.2323
90;-959.6407;512.0000;404.2323
91;-959.6407;512.0000;404.2323
92;-959.6407;512.0000;404.2323
93;-959.6407;512.0000;404.2323
94;-959.6407;512.0000;404.2323
95;-959.6407;512.0000;404.2323
96;-959.6407;512.0000;404.2323
97;-959.6407;512.0000;404.2323
98;-959.6407;512.0000;404.2323
99;-959.6407;512.0000;404.2323
